table_name,column_name,description
users,user_id,Unique user identifier
users,signup_date,Date the user signed up
users,country,User country
users,device_type,Primary device used
users,age_group,User age segment
users,acquisition_channel,User acquisition source
experiments,user_id,User identifier
experiments,experiment_name,Experiment identifier
experiments,experiment_group,Control or Treatment
experiments,assignment_date,Date assigned to experiment
experiments,variant_version,Onboarding version shown
events,event_id,Unique event identifier
events,user_id,User identifier
events,event_name,Product event
events,event_timestamp,Timestamp of event
events,session_id,Session identifier
events,platform,Platform/device
events,event_hour,Hour of event
transactions,transaction_id,Unique transaction identifier
transactions,user_id,User identifier
transactions,transaction_date,Transaction date
transactions,amount,Transaction amount
transactions,product_type,Product tier
transactions,payment_status,Payment success/failure
