user_id,experiment_name,experiment_group,assignment_date,variant_version
U000001,onboarding_v2,Treatment,2026-02-21,v2
U000002,onboarding_v2,Treatment,2026-01-15,v2
U000003,onboarding_v2,Treatment,2026-03-13,v2
U000004,onboarding_v2,Control,2026-03-02,v1
U000005,onboarding_v2,Control,2026-01-21,v1
U000006,onboarding_v2,Control,2026-03-24,v1
U000007,onboarding_v2,Treatment,2026-03-28,v2
U000008,onboarding_v2,Treatment,2026-03-17,v2
U000009,onboarding_v2,Control,2026-03-16,v1
U000010,onboarding_v2,Treatment,2026-03-29,v2
U000011,onboarding_v2,Treatment,2026-01-24,v2
U000012,onboarding_v2,Treatment,2026-01-03,v2
U000013,onboarding_v2,Control,2026-01-22,v1
U000014,onboarding_v2,Control,2026-02-22,v1
U000015,onboarding_v2,Treatment,2026-01-02,v2
U000016,onboarding_v2,Control,2026-03-29,v1
U000017,onboarding_v2,Control,2026-01-30,v1
U000018,onboarding_v2,Treatment,2026-02-07,v2
U000019,onboarding_v2,Control,2026-01-02,v1
U000020,onboarding_v2,Treatment,2026-03-05,v2
U000021,onboarding_v2,Control,2026-03-01,v1
U000022,onboarding_v2,Treatment,2026-01-21,v2
U000023,onboarding_v2,Treatment,2026-02-02,v2
U000024,onboarding_v2,Treatment,2026-03-17,v2
U000025,onboarding_v2,Control,2026-02-27,v1
U000026,onboarding_v2,Control,2026-01-22,v1
U000027,onboarding_v2,Control,2026-03-30,v1
U000028,onboarding_v2,Treatment,2026-02-18,v2
U000029,onboarding_v2,Control,2026-02-28,v1
U000030,onboarding_v2,Treatment,2026-02-11,v2
U000031,onboarding_v2,Control,2026-03-01,v1
U000032,onboarding_v2,Treatment,2026-03-21,v2
U000033,onboarding_v2,Control,2026-01-15,v1
U000034,onboarding_v2,Control,2026-03-03,v1
U000035,onboarding_v2,Treatment,2026-03-03,v2
U000036,onboarding_v2,Control,2026-02-16,v1
U000037,onboarding_v2,Treatment,2026-03-03,v2
U000038,onboarding_v2,Control,2026-02-20,v1
U000039,onboarding_v2,Treatment,2026-02-24,v2
U000040,onboarding_v2,Treatment,2026-03-05,v2
U000041,onboarding_v2,Treatment,2026-01-03,v2
U000042,onboarding_v2,Control,2026-02-20,v1
U000043,onboarding_v2,Control,2026-01-08,v1
U000044,onboarding_v2,Treatment,2026-01-21,v2
U000045,onboarding_v2,Control,2026-03-14,v1
U000046,onboarding_v2,Treatment,2026-02-08,v2
U000047,onboarding_v2,Control,2026-01-18,v1
U000048,onboarding_v2,Control,2026-01-04,v1
U000049,onboarding_v2,Control,2026-03-30,v1
U000050,onboarding_v2,Control,2026-03-01,v1
U000051,onboarding_v2,Treatment,2026-01-14,v2
U000052,onboarding_v2,Treatment,2026-01-09,v2
U000053,onboarding_v2,Treatment,2026-03-31,v2
U000054,onboarding_v2,Control,2026-02-22,v1
U000055,onboarding_v2,Control,2026-01-03,v1
U000056,onboarding_v2,Control,2026-03-25,v1
U000057,onboarding_v2,Treatment,2026-03-01,v2
U000058,onboarding_v2,Control,2026-03-12,v1
U000059,onboarding_v2,Control,2026-02-13,v1
U000060,onboarding_v2,Control,2026-01-08,v1
U000061,onboarding_v2,Control,2026-02-16,v1
U000062,onboarding_v2,Treatment,2026-02-04,v2
U000063,onboarding_v2,Treatment,2026-03-19,v2
U000064,onboarding_v2,Treatment,2026-03-22,v2
U000065,onboarding_v2,Control,2026-02-05,v1
U000066,onboarding_v2,Control,2026-02-19,v1
U000067,onboarding_v2,Control,2026-01-04,v1
U000068,onboarding_v2,Treatment,2026-01-02,v2
U000069,onboarding_v2,Treatment,2026-01-06,v2
U000070,onboarding_v2,Control,2026-02-23,v1
U000071,onboarding_v2,Control,2026-01-04,v1
U000072,onboarding_v2,Treatment,2026-02-23,v2
U000073,onboarding_v2,Treatment,2026-03-04,v2
U000074,onboarding_v2,Control,2026-01-18,v1
U000075,onboarding_v2,Treatment,2026-03-31,v2
U000076,onboarding_v2,Treatment,2026-02-13,v2
U000077,onboarding_v2,Control,2026-02-03,v1
U000078,onboarding_v2,Control,2026-03-15,v1
U000079,onboarding_v2,Control,2026-03-03,v1
U000080,onboarding_v2,Treatment,2026-01-14,v2
U000081,onboarding_v2,Treatment,2026-02-17,v2
U000082,onboarding_v2,Control,2026-01-15,v1
U000083,onboarding_v2,Control,2026-03-13,v1
U000084,onboarding_v2,Control,2026-03-19,v1
U000085,onboarding_v2,Control,2026-03-28,v1
U000086,onboarding_v2,Treatment,2026-03-03,v2
U000087,onboarding_v2,Control,2026-02-09,v1
U000088,onboarding_v2,Treatment,2026-03-26,v2
U000089,onboarding_v2,Treatment,2026-03-21,v2
U000090,onboarding_v2,Treatment,2026-03-23,v2
U000091,onboarding_v2,Control,2026-02-22,v1
U000092,onboarding_v2,Treatment,2026-01-24,v2
U000093,onboarding_v2,Control,2026-01-26,v1
U000094,onboarding_v2,Treatment,2026-03-30,v2
U000095,onboarding_v2,Control,2026-03-01,v1
U000096,onboarding_v2,Control,2026-02-10,v1
U000097,onboarding_v2,Control,2026-01-29,v1
U000098,onboarding_v2,Control,2026-01-15,v1
U000099,onboarding_v2,Treatment,2026-02-14,v2
U000100,onboarding_v2,Treatment,2026-03-06,v2
U000101,onboarding_v2,Treatment,2026-03-30,v2
U000102,onboarding_v2,Control,2026-03-12,v1
U000103,onboarding_v2,Treatment,2026-01-09,v2
U000104,onboarding_v2,Control,2026-03-29,v1
U000105,onboarding_v2,Treatment,2026-01-01,v2
U000106,onboarding_v2,Treatment,2026-01-08,v2
U000107,onboarding_v2,Control,2026-03-29,v1
U000108,onboarding_v2,Control,2026-03-04,v1
U000109,onboarding_v2,Control,2026-01-11,v1
U000110,onboarding_v2,Control,2026-03-22,v1
U000111,onboarding_v2,Treatment,2026-01-08,v2
U000112,onboarding_v2,Control,2026-02-04,v1
U000113,onboarding_v2,Treatment,2026-02-04,v2
U000114,onboarding_v2,Treatment,2026-02-02,v2
U000115,onboarding_v2,Control,2026-01-05,v1
U000116,onboarding_v2,Control,2026-02-10,v1
U000117,onboarding_v2,Treatment,2026-01-28,v2
U000118,onboarding_v2,Control,2026-01-07,v1
U000119,onboarding_v2,Control,2026-03-14,v1
U000120,onboarding_v2,Treatment,2026-03-13,v2
U000121,onboarding_v2,Treatment,2026-01-12,v2
U000122,onboarding_v2,Control,2026-02-03,v1
U000123,onboarding_v2,Treatment,2026-02-02,v2
U000124,onboarding_v2,Control,2026-02-17,v1
U000125,onboarding_v2,Control,2026-01-23,v1
U000126,onboarding_v2,Control,2026-03-03,v1
U000127,onboarding_v2,Control,2026-03-29,v1
U000128,onboarding_v2,Treatment,2026-02-06,v2
U000129,onboarding_v2,Treatment,2026-02-13,v2
U000130,onboarding_v2,Treatment,2026-03-27,v2
U000131,onboarding_v2,Treatment,2026-02-04,v2
U000132,onboarding_v2,Treatment,2026-03-06,v2
U000133,onboarding_v2,Treatment,2026-02-16,v2
U000134,onboarding_v2,Control,2026-03-19,v1
U000135,onboarding_v2,Treatment,2026-01-03,v2
U000136,onboarding_v2,Control,2026-01-01,v1
U000137,onboarding_v2,Control,2026-01-05,v1
U000138,onboarding_v2,Control,2026-03-31,v1
U000139,onboarding_v2,Treatment,2026-01-14,v2
U000140,onboarding_v2,Control,2026-01-27,v1
U000141,onboarding_v2,Treatment,2026-01-09,v2
U000142,onboarding_v2,Control,2026-03-20,v1
U000143,onboarding_v2,Treatment,2026-01-15,v2
U000144,onboarding_v2,Control,2026-03-31,v1
U000145,onboarding_v2,Treatment,2026-02-11,v2
U000146,onboarding_v2,Control,2026-03-18,v1
U000147,onboarding_v2,Control,2026-02-20,v1
U000148,onboarding_v2,Treatment,2026-03-04,v2
U000149,onboarding_v2,Treatment,2026-02-21,v2
U000150,onboarding_v2,Control,2026-01-04,v1
U000151,onboarding_v2,Control,2026-01-23,v1
U000152,onboarding_v2,Treatment,2026-01-15,v2
U000153,onboarding_v2,Control,2026-02-12,v1
U000154,onboarding_v2,Treatment,2026-01-29,v2
U000155,onboarding_v2,Treatment,2026-02-05,v2
U000156,onboarding_v2,Treatment,2026-01-13,v2
U000157,onboarding_v2,Control,2026-02-01,v1
U000158,onboarding_v2,Treatment,2026-03-12,v2
U000159,onboarding_v2,Treatment,2026-02-28,v2
U000160,onboarding_v2,Control,2026-03-27,v1
U000161,onboarding_v2,Treatment,2026-01-28,v2
U000162,onboarding_v2,Treatment,2026-03-07,v2
U000163,onboarding_v2,Control,2026-02-11,v1
U000164,onboarding_v2,Control,2026-02-14,v1
U000165,onboarding_v2,Control,2026-03-03,v1
U000166,onboarding_v2,Control,2026-02-26,v1
U000167,onboarding_v2,Control,2026-01-07,v1
U000168,onboarding_v2,Control,2026-01-28,v1
U000169,onboarding_v2,Control,2026-01-28,v1
U000170,onboarding_v2,Control,2026-02-13,v1
U000171,onboarding_v2,Treatment,2026-03-26,v2
U000172,onboarding_v2,Control,2026-01-30,v1
U000173,onboarding_v2,Treatment,2026-03-03,v2
U000174,onboarding_v2,Control,2026-03-16,v1
U000175,onboarding_v2,Control,2026-03-30,v1
U000176,onboarding_v2,Treatment,2026-03-03,v2
U000177,onboarding_v2,Treatment,2026-01-01,v2
U000178,onboarding_v2,Control,2026-01-27,v1
U000179,onboarding_v2,Treatment,2026-03-03,v2
U000180,onboarding_v2,Treatment,2026-03-18,v2
U000181,onboarding_v2,Control,2026-01-03,v1
U000182,onboarding_v2,Control,2026-03-11,v1
U000183,onboarding_v2,Control,2026-03-13,v1
U000184,onboarding_v2,Treatment,2026-01-27,v2
U000185,onboarding_v2,Control,2026-01-09,v1
U000186,onboarding_v2,Control,2026-03-03,v1
U000187,onboarding_v2,Treatment,2026-02-06,v2
U000188,onboarding_v2,Control,2026-02-20,v1
U000189,onboarding_v2,Control,2026-02-13,v1
U000190,onboarding_v2,Control,2026-01-24,v1
U000191,onboarding_v2,Treatment,2026-03-20,v2
U000192,onboarding_v2,Control,2026-02-28,v1
U000193,onboarding_v2,Treatment,2026-02-01,v2
U000194,onboarding_v2,Treatment,2026-03-29,v2
U000195,onboarding_v2,Treatment,2026-02-21,v2
U000196,onboarding_v2,Treatment,2026-03-03,v2
U000197,onboarding_v2,Control,2026-02-27,v1
U000198,onboarding_v2,Treatment,2026-02-21,v2
U000199,onboarding_v2,Control,2026-01-12,v1
U000200,onboarding_v2,Control,2026-02-08,v1
U000201,onboarding_v2,Treatment,2026-01-02,v2
U000202,onboarding_v2,Treatment,2026-01-03,v2
U000203,onboarding_v2,Control,2026-02-25,v1
U000204,onboarding_v2,Treatment,2026-03-22,v2
U000205,onboarding_v2,Treatment,2026-02-28,v2
U000206,onboarding_v2,Treatment,2026-01-02,v2
U000207,onboarding_v2,Control,2026-01-02,v1
U000208,onboarding_v2,Treatment,2026-02-23,v2
U000209,onboarding_v2,Treatment,2026-03-28,v2
U000210,onboarding_v2,Treatment,2026-01-01,v2
U000211,onboarding_v2,Treatment,2026-01-19,v2
U000212,onboarding_v2,Treatment,2026-01-02,v2
U000213,onboarding_v2,Control,2026-02-22,v1
U000214,onboarding_v2,Control,2026-02-14,v1
U000215,onboarding_v2,Treatment,2026-03-31,v2
U000216,onboarding_v2,Control,2026-02-01,v1
U000217,onboarding_v2,Control,2026-03-11,v1
U000218,onboarding_v2,Control,2026-02-01,v1
U000219,onboarding_v2,Control,2026-03-09,v1
U000220,onboarding_v2,Control,2026-02-24,v1
U000221,onboarding_v2,Control,2026-03-16,v1
U000222,onboarding_v2,Control,2026-02-25,v1
U000223,onboarding_v2,Treatment,2026-01-17,v2
U000224,onboarding_v2,Treatment,2026-02-07,v2
U000225,onboarding_v2,Treatment,2026-01-24,v2
U000226,onboarding_v2,Treatment,2026-03-11,v2
U000227,onboarding_v2,Treatment,2026-03-11,v2
U000228,onboarding_v2,Control,2026-03-27,v1
U000229,onboarding_v2,Treatment,2026-01-11,v2
U000230,onboarding_v2,Control,2026-01-16,v1
U000231,onboarding_v2,Control,2026-03-14,v1
U000232,onboarding_v2,Control,2026-02-28,v1
U000233,onboarding_v2,Treatment,2026-03-11,v2
U000234,onboarding_v2,Treatment,2026-03-22,v2
U000235,onboarding_v2,Treatment,2026-01-03,v2
U000236,onboarding_v2,Treatment,2026-01-20,v2
U000237,onboarding_v2,Treatment,2026-02-28,v2
U000238,onboarding_v2,Treatment,2026-02-05,v2
U000239,onboarding_v2,Control,2026-01-19,v1
U000240,onboarding_v2,Control,2026-03-31,v1
U000241,onboarding_v2,Control,2026-03-08,v1
U000242,onboarding_v2,Control,2026-01-19,v1
U000243,onboarding_v2,Treatment,2026-01-20,v2
U000244,onboarding_v2,Treatment,2026-03-12,v2
U000245,onboarding_v2,Control,2026-02-21,v1
U000246,onboarding_v2,Control,2026-02-02,v1
U000247,onboarding_v2,Treatment,2026-02-09,v2
U000248,onboarding_v2,Treatment,2026-02-08,v2
U000249,onboarding_v2,Control,2026-03-23,v1
U000250,onboarding_v2,Control,2026-01-01,v1
U000251,onboarding_v2,Control,2026-01-11,v1
U000252,onboarding_v2,Control,2026-02-26,v1
U000253,onboarding_v2,Treatment,2026-03-30,v2
U000254,onboarding_v2,Control,2026-02-19,v1
U000255,onboarding_v2,Control,2026-01-23,v1
U000256,onboarding_v2,Control,2026-01-31,v1
U000257,onboarding_v2,Control,2026-02-11,v1
U000258,onboarding_v2,Control,2026-01-07,v1
U000259,onboarding_v2,Treatment,2026-01-16,v2
U000260,onboarding_v2,Control,2026-03-31,v1
U000261,onboarding_v2,Treatment,2026-03-01,v2
U000262,onboarding_v2,Control,2026-01-02,v1
U000263,onboarding_v2,Control,2026-01-01,v1
U000264,onboarding_v2,Treatment,2026-02-17,v2
U000265,onboarding_v2,Treatment,2026-01-12,v2
U000266,onboarding_v2,Treatment,2026-03-10,v2
U000267,onboarding_v2,Control,2026-02-06,v1
U000268,onboarding_v2,Control,2026-02-01,v1
U000269,onboarding_v2,Treatment,2026-01-09,v2
U000270,onboarding_v2,Treatment,2026-01-19,v2
U000271,onboarding_v2,Treatment,2026-02-17,v2
U000272,onboarding_v2,Control,2026-03-21,v1
U000273,onboarding_v2,Treatment,2026-01-03,v2
U000274,onboarding_v2,Control,2026-01-20,v1
U000275,onboarding_v2,Treatment,2026-01-24,v2
U000276,onboarding_v2,Control,2026-02-23,v1
U000277,onboarding_v2,Treatment,2026-02-02,v2
U000278,onboarding_v2,Control,2026-01-24,v1
U000279,onboarding_v2,Control,2026-03-16,v1
U000280,onboarding_v2,Control,2026-03-13,v1
U000281,onboarding_v2,Control,2026-02-05,v1
