transaction_id,user_id,transaction_date,amount,product_type,payment_status
T0000001,U000001,2026-03-14,361.56,Pro,Success
T0000002,U000008,2026-04-02,1083.35,Pro,Success
T0000003,U000031,2026-03-08,963.88,Basic,Success
T0000004,U000038,2026-03-11,339.15,Basic,Success
T0000005,U000052,2026-01-16,551.46,Pro,Success
T0000006,U000067,2026-01-09,,Basic,Success
T0000007,U000085,2026-04-23,973.73,Premium,Success
T0000008,U000091,2026-03-11,123.92,Basic,Success
T0000009,U000098,2026-01-26,876.94,Basic,Success
T0000010,U000101,2026-04-26,724.51,Premium,Success
T0000011,U000104,2026-04-04,1064.18,Premium,Success
T0000012,U000131,2026-02-23,322.4,Pro,Success
T0000013,U000133,2026-03-01,341.86,Pro,Success
T0000014,U000159,2026-03-30,354.59,Pro,Success
T0000015,U000191,2026-04-15,1262.01,Basic,Success
T0000016,U000206,2026-01-18,1133.96,Basic,Success
T0000017,U000220,2026-03-19,1258.02,Basic,Success
T0000018,U000254,2026-03-19,622.4,Basic,Success
T0000019,U000257,2026-02-17,121.79,Basic,Success
T0000020,U000265,2026-01-19,1772.89,Basic,Success
T0000021,U000282,2026-02-13,842.35,Pro,Success
T0000022,U000291,2026-04-01,351.71,Basic,Success
T0000023,U000296,2026-02-11,705.23,Basic,Success
T0000024,U000306,2026-02-25,844.48,Pro,Success
T0000025,U000310,2026-02-13,135.86,Premium,Success
T0000026,U000320,2026-02-08,613.19,Pro,Failed
T0000027,U000328,2026-03-25,716.47,Basic,Success
T0000028,U000349,2026-03-12,1015.38,Pro,Success
T0000029,U000360,2026-04-29,1315.71,Premium,Success
T0000030,U000369,2026-02-28,491.6,Pro,Success
T0000031,U000373,2026-03-06,485.52,Premium,Success
T0000032,U000393,2026-03-06,269.03,Premium,Success
T0000033,U000396,2026-02-16,334.72,Pro,Success
T0000034,U000411,2026-03-24,859.35,Basic,Success
T0000035,U000446,2026-03-24,1130.34,Basic,Failed
T0000036,U000455,2026-03-09,279.73,Basic,Success
T0000037,U000458,2026-03-27,395.8,Basic,Success
T0000038,U000459,2026-02-11,570.65,Pro,Success
T0000039,U000461,2026-04-23,545.62,Basic,Success
T0000040,U000480,2026-01-22,355.71,Pro,Success
