event_id,user_id,event_name,event_timestamp,session_id,platform,event_hour
E00000025,U000006,signup,2026-03-24 13:53:00,SU00000601,Mobile,13
E00000031,U000006,session_start,2026-03-26 19:27:00,SU00000601,Mobile,19
E00000054,U000010,onboarding_complete,2026-03-31 15:16:00,SU00001001,Mobile,15
E00000082,U000015,session_start,2026-01-22 19:59:00,SU00001501,Mobile,19
E00000084,U000016,onboarding_start,2026-03-30 06:57:00,SU00001601,Mobile,6
E00000086,U000017,signup,2026-01-30 01:18:00,SU00001701,Tablet,1
E00000089,U000018,signup,2026-02-07 20:54:00,SU00001801,Mobile,20
E00000092,U000019,onboarding_start,2026-01-02 11:36:00,SU00001901,Mobile,11
E00000103,U000020,feature_view,2026-03-07 18:26:00,SU00002001,Mobile,18
E00000101,U000020,onboarding_complete,2026-03-07 23:49:00,SU00002001,Mobile,23
E00000118,U000026,signup,2026-01-22 04:53:00,SU00002601,Desktop,4
E00000124,U000028,signup,2026-02-18 08:28:00,SU00002801,Desktop,8
E00000129,U000029,onboarding_complete,2026-03-01 00:28:00,SU00002901,Mobile,0
E00000142,U000031,core_action,2026-03-03 14:31:00,SU00003101,Mobile,14
E00000143,U000031,session_start,2026-03-07 09:21:00,SU00003101,Mobile,9
E00000144,U000031,session_start,2026-03-28 04:35:00,SU00003101,Mobile,4
E00000177,U000039,core_action,2026-02-26 08:01:00,SU00003901,Mobile,8
E00000181,U000040,onboarding_start,2026-03-06 07:09:00,SU00004001,Mobile,7
E00000187,U000043,signup,2026-01-07 13:31:00,SU00004301,Mobile,13
E00000238,U000053,core_action,2026-04-07 11:23:00,SU00005301,Mobile,11
E00000251,U000056,onboarding_complete,2026-03-26 08:16:00,SU00005601,Desktop,8
E00000255,U000057,core_action,2026-03-06 06:34:00,SU00005701,Mobile,6
E00000262,U000058,feature_view,2026-03-16 05:28:00,SU00005801,Tablet,5
E00000265,U000058,session_start,2026-04-11 23:46:00,SU00005801,Tablet,23
E00000283,U000063,onboarding_complete,2026-03-21 21:28:00,SU00006301,Mobile,21
E00000286,U000063,core_action,2026-03-22 18:31:00,SU00006301,Mobile,18
E00000290,U000064,onboarding_start,2026-03-22 15:04:00,SU00006401,Mobile,15
E00000289,U000064,signup,2026-03-22 17:05:00,SU00006401,Mobile,17
E00000303,U000067,core_action,2026-01-10 22:50:00,SU00006701,Mobile,22
E00000306,U000067,subscription_start,2026-01-28 02:32:00,SU00006701,Mobile,2
E00000314,U000069,onboarding_start,2026-01-06 12:46:00,SU00006901,Desktop,12
E00000318,U000070,onboarding_complete,2026-02-25 19:15:00,SU00007001,Mobile,19
E00000320,U000071,onboarding_start,2026-01-05 06:04:00,SU00007101,Mobile,6
E00000324,U000072,core_action,2026-02-27 02:48:00,SU00007201,Mobile,2
E00000329,U000073,signup,2026-03-04 20:39:00,SU00007301,Mobile,20
E00000333,U000073,feature_view,2026-03-07 12:10:00,SU00007301,Mobile,12
E00000334,U000073,core_action,2026-03-08 10:53:00,SU00007301,Mobile,10
E00000342,U000076,signup,2026-02-13 23:09:00,SU00007601,Mobile,23
E00000356,U000080,feature_view,2026-01-20 19:58:00,SU00008001,Tablet,19
E00000363,U000082,onboarding_complete,2026-01-16 23:38:00,SU00008201,Desktop,23
E00000372,U000085,core_action,2026-03-29 07:47:00,SU00008501,Mobile,7
E00000370,U000085,onboarding_start,2026-03-29 21:43:00,SU00008501,Mobile,21
E00000381,U000087,signup,2026-02-09 14:13:00,SU00008701,Mobile,14
E00000392,U000089,session_start,2026-03-23 17:57:00,SU00008901,Mobile,17
E00000402,U000091,onboarding_complete,2026-02-24 23:58:00,SU00009101,Desktop,23
E00000414,U000092,core_action,2026-01-27 06:49:00,SU00009201,Mobile,6
E00000417,U000093,signup,2026-01-26 04:48:00,SU00009301,Mobile,4
E00000420,U000094,onboarding_start,2026-03-31 17:15:00,SU00009401,Desktop,17
E00000428,U000096,signup,2026-02-10 23:41:00,SU00009601,Desktop,23
E00000443,U000099,signup,2026-02-14 04:04:00,SU00009901,Mobile,4
E00000451,U000101,core_action,2026-04-06 01:41:00,SU00010101,Mobile,1
E00000466,U000103,onboarding_start,2026-01-10 11:43:00,SU00010301,Tablet,11
E00000472,U000104,feature_view,2026-03-30 16:45:00,SU00010401,Mobile,16
E00000483,U000107,signup,2026-03-29 05:59:00,SU00010701,Desktop,5
E00000484,U000107,onboarding_start,2026-03-29 22:00:00,SU00010701,Desktop,22
E00000495,U000110,signup,2026-03-22 08:45:00,SU00011001,Desktop,8
E00000503,U000112,onboarding_complete,2026-02-05 09:37:00,SU00011201,Mobile,9
E00000502,U000112,onboarding_start,2026-02-05 13:09:00,SU00011201,Mobile,13
E00000509,U000114,core_action,2026-02-05 18:58:00,SU00011401,Mobile,18
E00000518,U000116,onboarding_start,2026-02-11 08:44:00,SU00011601,Mobile,8
E00000519,U000116,onboarding_complete,2026-02-12 02:43:00,SU00011601,Mobile,2
E00000520,U000116,core_action,2026-02-14 11:03:00,SU00011601,Mobile,11
E00000524,U000117,signup,2026-01-28 22:47:00,SU00011701,Desktop,22
E00000533,U000120,onboarding_complete,2026-03-14 06:35:00,SU00012001,Tablet,6
E00000540,U000123,onboarding_start,2026-02-02 04:42:00,SU00012301,Desktop,4
E00000545,U000123,session_start,2026-02-08 21:31:00,SU00012301,Desktop,21
E00000556,U000126,onboarding_complete,2026-03-04 09:44:00,SU00012601,Desktop,9
E00000569,U000129,session_start,2026-02-19 15:12:00,SU00012901,Mobile,15
E00000579,U000131,session_start,2026-02-07 01:33:00,SU00013101,Mobile,1
E00000588,U000133,core_action,2026-02-23 09:53:00,SU00013301,Mobile,9
E00000592,U000133,session_start,2026-03-11 06:07:00,SU00013301,Mobile,6
E00000596,U000134,onboarding_complete,2026-03-21 05:53:00,SU00013401,Mobile,5
E00000598,U000135,onboarding_start,2026-01-04 06:38:00,SU00013501,Mobile,6
E00000604,U000137,onboarding_start,2026-01-06 16:23:00,SU00013701,Mobile,16
E00000612,U000140,onboarding_start,2026-01-27 09:18:00,SU00014001,Mobile,9
E00000613,U000140,onboarding_complete,2026-01-28 18:12:00,SU00014001,Mobile,18
E00000631,U000145,onboarding_complete,2026-02-12 22:40:00,SU00014501,Tablet,22
E00000634,U000145,core_action,2026-02-14 19:53:00,SU00014501,Tablet,19
E00000653,U000149,onboarding_start,2026-02-22 21:59:00,SU00014901,Tablet,21
E00000659,U000150,core_action,2026-01-11 16:25:00,SU00015001,Mobile,16
E00000667,U000152,core_action,2026-01-19 16:23:00,SU00015201,Mobile,16
E00000672,U000153,signup,2026-02-12 17:18:00,SU00015301,Desktop,17
E00000674,U000153,onboarding_complete,2026-02-14 22:51:00,SU00015301,Desktop,22
E00000675,U000154,signup,2026-01-29 22:46:00,SU00015401,Mobile,22
E00000684,U000156,feature_view,2026-01-14 05:30:00,SU00015601,Tablet,5
E00000697,U000159,signup,2026-02-28 00:54:00,SU00015901,Mobile,0
E00000705,U000159,subscription_start,2026-03-12 04:13:00,SU00015901,Mobile,4
E00000711,U000161,onboarding_complete,2026-01-30 00:09:00,SU00016101,Desktop,0
E00000731,U000166,onboarding_complete,2026-02-28 00:27:00,SU00016601,Desktop,0
E00000732,U000167,signup,2026-01-06 01:39:00,SU00016701,Desktop,1
E00000752,U000171,signup,2026-03-25 04:10:00,SU00017101,Mobile,4
E00000754,U000171,onboarding_complete,2026-03-27 20:13:00,SU00017101,Mobile,20
E00000758,U000172,signup,2026-01-30 14:09:00,SU00017201,Desktop,14
E00000781,U000179,onboarding_start,2026-03-03 02:03:00,SU00017901,Desktop,2
E00000780,U000179,signup,2026-03-03 16:55:00,SU00017901,Desktop,16
E00000785,U000180,onboarding_complete,2026-03-19 02:44:00,SU00018001,Mobile,2
E00000789,U000181,signup,2026-01-03 07:51:00,SU00018101,Mobile,7
E00000791,U000181,onboarding_complete,2026-01-04 22:56:00,SU00018101,Mobile,22
E00000796,U000182,onboarding_start,2026-03-11 15:23:00,SU00018201,Mobile,15
E00000799,U000183,onboarding_complete,2026-03-15 12:11:00,SU00018301,Mobile,12
E00000803,U000183,session_start,2026-03-16 05:42:00,SU00018301,Mobile,5
E00000801,U000183,feature_view,2026-03-16 06:57:00,SU00018301,Mobile,6
E00000813,U000186,signup,2026-03-03 11:15:00,SU00018601,Mobile,11
E00000832,U000191,feature_view,2026-03-23 18:42:00,SU00019101,Mobile,18
E00000844,U000194,onboarding_complete,2026-03-30 04:40:00,SU00019401,Desktop,4
E00000848,U000196,onboarding_start,2026-03-03 12:54:00,SU00019601,Tablet,12
E00000853,U000197,signup,2026-02-27 09:06:00,SU00019701,Mobile,9
E00000859,U000198,feature_view,2026-02-24 00:04:00,SU00019801,Mobile,0
E00000867,U000199,feature_view,2026-01-13 01:01:00,SU00019901,Mobile,1
E00000864,U000199,onboarding_start,2026-01-13 15:24:00,SU00019901,Mobile,15
E00000870,U000200,signup,2026-02-08 19:48:00,SU00020001,Mobile,19
E00000876,U000202,onboarding_start,2026-01-04 22:00:00,SU00020201,Desktop,22
E00000881,U000203,core_action,2026-02-28 04:16:00,SU00020301,Desktop,4
E00000884,U000203,session_start,2026-03-02 18:26:00,SU00020301,Desktop,18
E00000885,U000204,signup,2026-03-22 18:48:00,SU00020401,Mobile,18
E00000887,U000204,onboarding_complete,2026-03-24 13:24:00,SU00020401,Mobile,13
E00000891,U000204,session_start,2026-03-29 00:29:00,SU00020401,Mobile,0
E00000892,U000205,signup,2026-02-28 04:10:00,SU00020501,Desktop,4
E00000922,U000213,signup,2026-02-22 02:09:00,SU00021301,Mobile,2
E00000929,U000216,signup,2026-02-01 04:47:00,SU00021601,Mobile,4
E00000982,U000228,onboarding_complete,2026-03-29 04:16:00,SU00022801,Desktop,4
E00000992,U000229,session_start,2026-01-15 18:23:00,SU00022901,Tablet,18
E00001012,U000235,onboarding_start,2026-01-03 02:36:00,SU00023501,Mobile,2
E00001021,U000237,onboarding_start,2026-03-01 04:48:00,SU00023701,Desktop,4
E00001028,U000238,onboarding_complete,2026-02-07 05:14:00,SU00023801,Mobile,5
E00001032,U000239,signup,2026-01-19 13:37:00,SU00023901,Desktop,13
E00001033,U000239,onboarding_start,2026-01-20 05:30:00,SU00023901,Desktop,5
E00001041,U000242,onboarding_start,2026-01-20 16:36:00,SU00024201,Mobile,16
E00001046,U000244,signup,2026-03-12 20:11:00,SU00024401,Mobile,20
E00001053,U000244,session_start,2026-04-09 03:35:00,SU00024401,Mobile,3
E00001060,U000246,feature_view,2026-02-08 07:41:00,SU00024601,Mobile,7
E00001085,U000253,onboarding_start,2026-03-31 03:20:00,SU00025301,Mobile,3
