user_id,signup_date,country,device_type,age_group,acquisition_channel
U000001,2026-02-21,USA,Desktop,45-54,Paid Search
U000002,2026-01-15,Canada,Mobile,55+,Paid Search
U000003,2026-03-13,India,Mobile,25-34,Organic
U000004,2026-03-02,USA,Mobile,45-54,Social
U000005,2026-01-21,UK,Desktop,18-24,Organic
U000006,2026-03-24,India,Mobile,25-34,Paid Search
U000007,2026-03-28,India,Mobile,45-54,Organic
U000008,2026-03-16,Germany,Mobile,25-34,Paid Search
U000009,2026-03-16,India,Desktop,35-44,Referral
U000010,2026-03-29,India,Mobile,18-24,Referral
U000011,2026-01-24,Canada,Desktop,45-54,Paid Search
U000012,2026-01-03,India,Mobile,45-54,Email
U000013,2026-01-22,USA,Mobile,45-54,Organic
U000014,2026-02-22,India,Mobile,35-44,Organic
U000015,2026-01-02,India,Mobile,45-54,Social
U000016,2026-03-29,USA,Mobile,35-44,Referral
U000017,2026-01-30,India,Tablet,35-44,Organic
U000018,2026-02-07,USA,Mobile,18-24,Paid Search
U000019,2026-01-02,Germany,Mobile,18-24,Paid Search
U000020,2026-03-05,USA,Mobile,25-34,Email
U000021,2026-03-01,UK,Desktop,35-44,Social
U000022,2026-01-21,India,Mobile,25-34,Social
U000023,2026-02-02,Australia,Desktop,55+,Organic
U000024,2026-03-17,Canada,Mobile,45-54,Paid Search
U000025,2026-02-27,USA,Desktop,18-24,Paid Search
U000026,2026-01-22,India,Desktop,18-24,Organic
U000027,2026-03-30,USA,Mobile,35-44,Paid Search
U000028,2026-02-18,India,Desktop,25-34,Email
U000029,2026-02-28,Germany,Mobile,45-54,Organic
U000030,2026-02-11,USA,Mobile,25-34,Organic
U000031,2026-03-01,USA,Mobile,35-44,Organic
U000032,2026-03-21,India,Mobile,25-34,Social
U000033,2026-01-15,India,Mobile,25-34,Referral
U000034,2026-03-03,UK,Tablet,25-34,Referral
U000035,2026-03-03,USA,Tablet,25-34,Social
U000036,2026-02-16,USA,Mobile,25-34,Social
U000037,2026-03-03,India,Desktop,18-24,Referral
U000038,2026-02-20,India,Desktop,25-34,Paid Search
U000039,2026-02-24,India,Mobile,35-44,Organic
U000040,2026-03-05,Germany,Mobile,45-54,Organic
U000041,2026-01-03,Canada,Mobile,25-34,Paid Search
U000042,2026-02-20,Germany,Mobile,25-34,Organic
U000043,2026-01-07,USA,Mobile,18-24,Paid Search
U000044,2026-01-21,Australia,Desktop,25-34,Social
U000045,2026-03-14,India,Mobile,25-34,Organic
U000046,2026-02-08,USA,Mobile,35-44,Referral
U000047,2026-01-18,India,Desktop,25-34,Paid Search
U000048,2026-01-04,Canada,Mobile,18-24,Organic
U000049,2026-03-30,USA,Mobile,35-44,Referral
U000050,2026-03-01,USA,Desktop,45-54,Organic
U000051,2026-01-14,Australia,Mobile,55+,Paid Search
U000052,2026-01-09,Canada,Mobile,25-34,Email
U000053,2026-03-31,Germany,Mobile,25-34,Paid Search
U000054,2026-02-22,USA,Desktop,45-54,Organic
U000055,2026-01-02,USA,Tablet,45-54,Paid Search
U000056,2026-03-25,UK,Desktop,25-34,Organic
U000057,2026-03-01,USA,Mobile,45-54,Paid Search
